"Nurse_ID,Name,Age,Gender,Experience_Years,Specialization,Hospital,Shift,Contact,Email,Location,Available"
"NUR0021,Brent Diaz,50,Male,30,Pediatric Care,""Garrett, Parsons and Irwin Hospital"",Rotational,001-304-730-9093x6680,glopez@example.com,Kolkata,Available"
"NUR0022,Kenneth Dunn,45,Male,26,Elderly Care,Soto-White Hospital,Day,+1-896-529-9542x0536,nathandixon@example.net,Chennai,Available"
"NUR0023,Mr. Michael Barker II,35,Female,30,Post Surgery,Harris-Dixon Hospital,Night,+1-851-545-6190,ulee@example.org,Mumbai,Available"
"NUR0024,Angela Spencer,38,Male,6,Pregnancy,Foster-Estes Hospital,Rotational,(948)446-6135x9176,james01@example.org,Bengaluru,Not Available"
"NUR0025,Rachel Gonzalez,24,Male,32,Elderly Care,Griffin Group Hospital,Day,(994)582-0531,uferguson@example.com,Mumbai,Not Available"
"NUR0026,Jeffrey Jones,23,Female,20,Elderly Care,Fuller-Erickson Hospital,Night,5135427923,aaron68@example.org,Kolkata,Not Available"
"NUR0027,Steven Henderson,51,Female,25,Elderly Care,""Nelson, Clarke and Schmidt Hospital"",Night,001-863-952-0596x7204,marcpeterson@example.com,Chennai,Not Available"
"NUR0028,Albert Whitehead,34,Male,5,Elderly Care,Davis Group Hospital,Rotational,+1-380-292-3488x5304,spenceraudrey@example.net,Mumbai,Available"
"NUR0029,Kathy Harrison,51,Female,34,Pregnancy,Cuevas LLC Hospital,Day,001-886-611-0801x6863,ashleysilva@example.org,Delhi,Not Available"
"NUR0030,Sarah Leon,46,Male,15,Check Up,""Thornton, Gibson and Davis Hospital"",Night,001-833-866-0588x714,woodheather@example.com,Mumbai,Not Available"
"NUR0031,Stephanie Guzman,31,Female,13,Pregnancy,Miller Inc Hospital,Day,(445)931-1135,wilsonwilliam@example.com,Chennai,Not Available"
"NUR0032,Dustin Fischer,31,Male,35,Post Pregnancy,Williams-Ward Hospital,Night,261.999.3486x6932,carolyn36@example.org,Chennai,Available"
"NUR0033,Catherine Smith,47,Female,12,Elderly Care,Anderson-Williams Hospital,Day,+1-784-897-9981x005,richardacosta@example.net,Mumbai,Not Available"
"NUR0034,Hector Long,31,Male,5,Pregnancy,""Hernandez, Hunt and Alexander Hospital"",Day,2509013546,sharon79@example.net,Delhi,Not Available"
"NUR0035,Pamela Barber,57,Male,20,Elderly Care,""Thomas, Hunter and Bates Hospital"",Day,(236)509-6728x71657,whitneygross@example.com,Kolkata,Not Available"
"NUR0036,Krista Reid,49,Male,5,Post Pregnancy,Hernandez-Hernandez Hospital,Rotational,482.924.9702x755,tmiles@example.com,Mumbai,Available"
"NUR0037,Adam Bullock,41,Female,16,Pediatric Care,Mcdonald-Mora Hospital,Night,265-558-4869x46214,bramsey@example.com,Kolkata,Not Available"
"NUR0038,Andrew Dixon,58,Male,26,Post Pregnancy,Smith LLC Hospital,Day,001-878-934-2960,joesims@example.org,Delhi,Available"
"NUR0039,Diane Savage,51,Male,19,Elderly Care,Rivera LLC Hospital,Day,001-354-242-2772x0371,saundersvalerie@example.com,Chennai,Available"
"NUR0040,John Knapp,30,Female,12,Pregnancy,Simpson PLC Hospital,Rotational,600.854.2997x3336,hogangregory@example.net,Bengaluru,Available"
"NUR0041,Brooke Strickland,44,Male,18,Elderly Care,""Robertson, Santana and Morales Hospital"",Night,+1-735-582-8627x40852,kphillips@example.net,Mumbai,Not Available"
"NUR0042,Chase Reed,49,Male,18,Check Up,Jordan-Chambers Hospital,Rotational,001-824-600-9908,campbellvictoria@example.org,Chennai,Available"
"NUR0043,Kristen Townsend,27,Male,25,Check Up,""Pena, Evans and Wilcox Hospital"",Night,(224)523-4647x714,mariotaylor@example.org,Kolkata,Not Available"
"NUR0044,Logan Travis,24,Male,19,Post Surgery,Freeman and Sons Hospital,Rotational,625.492.0861x72496,penny88@example.org,Bengaluru,Not Available"
"NUR0045,Diana Trujillo,24,Female,16,Pregnancy,""Curry, King and Gonzales Hospital"",Rotational,818.329.4043,hollycain@example.com,Bengaluru,Available"
"NUR0046,Tammy Petersen,41,Male,24,Pregnancy,Newman PLC Hospital,Rotational,(288)619-5369,garciadebra@example.org,Bengaluru,Not Available"
"NUR0047,Michelle Lambert,58,Male,35,Post Surgery,Morris-Smith Hospital,Night,2806403550,bryan85@example.org,Mumbai,Available"
"NUR0048,Paul Moore,36,Female,24,Elderly Care,Black-Howard Hospital,Night,968-300-6674,wchaney@example.net,Mumbai,Available"
"NUR0049,Kimberly Jones,42,Male,7,Post Surgery,Bird-Jackson Hospital,Night,542.994.7719x945,robertvillanueva@example.org,Mumbai,Available"
"NUR0050,Samantha Shaw,46,Female,22,Post Surgery,""Harrington, Ibarra and Mccann Hospital"",Day,441.816.6816x763,david62@example.com,Delhi,Available"
"NUR0051,Teresa Anthony,38,Male,5,Check Up,""Griffith, Jennings and Pearson Hospital"",Rotational,517-335-4936x6065,molly29@example.net,Kolkata,Not Available"
"NUR0052,Kathleen Le MD,31,Male,30,Pregnancy,Perez LLC Hospital,Rotational,001-586-218-2871x0765,jessica81@example.org,Chennai,Available"
"NUR0053,Tiffany Adkins,57,Male,3,Elderly Care,Ortiz Inc Hospital,Night,870-618-0962x60801,scottamanda@example.org,Bengaluru,Available"
"NUR0054,Rebecca Hansen,48,Female,34,Check Up,Forbes-Ward Hospital,Night,890-381-3999x5514,henry82@example.net,Bengaluru,Not Available"
"NUR0055,Michael Alvarez,47,Male,35,Post Surgery,Pineda Inc Hospital,Rotational,(262)948-8841,garciawilliam@example.org,Chennai,Not Available"
"NUR0056,Erica Nguyen,39,Female,18,Post Surgery,""Kennedy, Allen and Edwards Hospital"",Rotational,615-684-4069x861,rodriguezkyle@example.com,Delhi,Available"
"NUR0057,Allison Warren,24,Male,15,Post Surgery,""Hale, Williamson and Rice Hospital"",Day,872.526.1450x9561,glassrichard@example.com,Mumbai,Not Available"
"NUR0058,Joann Berg,39,Male,11,Check Up,Lindsey-Walters Hospital,Rotational,+1-329-742-4136x815,cmartin@example.org,Delhi,Not Available"
"NUR0059,Lisa Powell,28,Female,1,Pregnancy,Vasquez-Jacobson Hospital,Day,+1-446-587-2539x29934,mgardner@example.org,Mumbai,Available"
"NUR0060,Mallory York,46,Female,4,Pregnancy,Ortega LLC Hospital,Rotational,001-211-404-2656,robert14@example.org,Chennai,Not Available"
"NUR0061,Rhonda Jones,52,Male,32,Post Surgery,Burgess-Miller Hospital,Night,001-532-341-5649,yjordan@example.org,Chennai,Not Available"
"NUR0062,Stephanie Cole,22,Female,11,Elderly Care,Mitchell-Li Hospital,Day,418-923-9349x61877,snichols@example.org,Kolkata,Available"
"NUR0063,Dr. Bryan Blair,36,Female,7,Post Surgery,Clark PLC Hospital,Night,438-908-0456x0720,jimenezjennifer@example.com,Mumbai,Available"
"NUR0064,Joshua Rodriguez,22,Male,3,Pediatric Care,""Taylor, Mendez and Andrade Hospital"",Rotational,635.389.0240,pmann@example.org,Chennai,Available"
"NUR0065,Michael Huynh,32,Male,3,Pregnancy,Pierce-Werner Hospital,Day,(214)526-3920x449,julia34@example.com,Mumbai,Available"
"NUR0066,Kevin Willis,28,Male,15,Elderly Care,""Kelly, Harper and Richards Hospital"",Day,(225)842-6900x19052,scontreras@example.net,Mumbai,Not Available"
"NUR0067,Amy Weaver,31,Female,27,Pediatric Care,Collins Inc Hospital,Rotational,+1-601-588-0295,diane50@example.net,Delhi,Available"
"NUR0068,Mark Robertson,24,Female,27,Pregnancy,Morton Inc Hospital,Night,001-921-904-1929,leeamber@example.net,Bengaluru,Not Available"
"NUR0069,Nathan Hill,32,Female,6,Pediatric Care,""Whitney, Johnson and Anthony Hospital"",Rotational,6316413839,porterjeremy@example.com,Delhi,Available"
"NUR0070,Rachael Holmes,22,Male,18,Elderly Care,Mason-Vang Hospital,Night,3134996661,emily55@example.com,Mumbai,Available"
"NUR0071,Kimberly Morgan,59,Male,29,Pregnancy,Evans-Coleman Hospital,Rotational,(622)266-9267x572,lcowan@example.com,Chennai,Available"
"NUR0072,Stephanie Weaver,28,Female,11,Pregnancy,""Barr, Hurley and Garcia Hospital"",Night,001-216-680-1122x4785,carlos95@example.org,Kolkata,Not Available"
"NUR0073,Anthony Smith,60,Female,17,Post Surgery,Mack-Bender Hospital,Night,962.814.4693x06769,jordanrebecca@example.net,Bengaluru,Not Available"
"NUR0074,Alexandra Brown,25,Female,29,Post Pregnancy,Davidson Inc Hospital,Rotational,593.836.8759,uhughes@example.org,Bengaluru,Not Available"
"NUR0075,Micheal Hill,24,Female,11,Post Pregnancy,Fowler PLC Hospital,Day,001-247-391-1220x531,jrodriguez@example.org,Chennai,Available"
"NUR0076,Hannah Cantu,33,Female,31,Check Up,Myers-Jones Hospital,Night,+1-519-870-7011x9574,wfowler@example.net,Chennai,Available"
"NUR0077,Brenda Mendoza,23,Male,10,Pregnancy,""Maldonado, Watson and Brown Hospital"",Day,+1-409-665-8803x81937,brandon17@example.net,Mumbai,Available"
"NUR0078,Christina Peck,28,Male,30,Pediatric Care,Powell Ltd Hospital,Rotational,923.766.6322,uschneider@example.com,Mumbai,Not Available"
"NUR0079,Jason Martinez,49,Male,18,Check Up,Wade Inc Hospital,Day,001-713-469-1038,cookelizabeth@example.com,Bengaluru,Available"
"NUR0080,Matthew Cameron,47,Male,4,Elderly Care,""Cook, Marquez and Aguilar Hospital"",Day,(623)242-7680,ramostodd@example.org,Kolkata,Not Available"
"NUR0081,Whitney Logan,45,Male,27,Pediatric Care,Mata Group Hospital,Rotational,+1-781-873-7136,pcarroll@example.com,Bengaluru,Available"
"NUR0082,Mr. John White,53,Male,28,Elderly Care,Brown-Perez Hospital,Night,985-917-5849,gonzalezrobert@example.net,Kolkata,Not Available"
"NUR0083,Erica Gillespie,40,Female,23,Check Up,Campbell-Huang Hospital,Rotational,(917)322-9770,eric68@example.net,Kolkata,Not Available"
"NUR0084,Matthew Harvey,37,Male,11,Pediatric Care,""Davis, Brewer and Gordon Hospital"",Rotational,848-592-7947x086,clementsbrooke@example.org,Mumbai,Not Available"
"NUR0085,Daniel Martinez,53,Female,24,Elderly Care,""Green, Hansen and Luna Hospital"",Rotational,929.582.9503,christian98@example.net,Mumbai,Available"
"NUR0086,Suzanne Williams,57,Female,23,Pregnancy,""Lewis, Sanford and Knight Hospital"",Rotational,667-499-6333x5837,fgallagher@example.org,Bengaluru,Not Available"
"NUR0087,Douglas Farrell,46,Female,17,Elderly Care,Hernandez-Andrews Hospital,Day,(997)279-4631x8008,deborahbolton@example.net,Mumbai,Not Available"
"NUR0088,Mr. Melvin Rodriguez,28,Female,9,Post Pregnancy,Green PLC Hospital,Night,332.223.9194x154,nathan36@example.org,Mumbai,Not Available"
"NUR0089,Emma Keller,59,Male,5,Check Up,Singh-Montoya Hospital,Day,979-761-1330x618,athompson@example.com,Mumbai,Available"
"NUR0090,Steven Ayala,23,Female,33,Post Surgery,Schultz Inc Hospital,Day,224.897.7982x153,kenneth02@example.net,Chennai,Not Available"

