NUR0026,Jeffrey Jones,23,Female,20,Elderly Care,Fuller-Erickson Hospital,Night,5135427923,aaron68@example.org,Kolkata,Not Available
NUR0027,Steven Henderson,51,Female,25,Elderly Care,"Nelson, Clarke and Schmidt Hospital",Night,001-863-952-0596x7204,marcpeterson@example.com,Chennai,Not Available
NUR0028,Albert Whitehead,34,Male,5,Elderly Care,Davis Group Hospital,Rotational,+1-380-292-3488x5304,spenceraudrey@example.net,Mumbai,Available
NUR0029,Kathy Harrison,51,Female,34,Pregnancy,Cuevas LLC Hospital,Day,001-886-611-0801x6863,ashleysilva@example.org,Delhi,Not Available
NUR0030,Sarah Leon,46,Male,15,Check Up,"Thornton, Gibson and Davis Hospital",Night,001-833-866-0588x714,woodheather@example.com,Mumbai,Not Available
NUR0031,Stephanie Guzman,31,Female,13,Pregnancy,Miller Inc Hospital,Day,(445)931-1135,wilsonwilliam@example.com,Chennai,Not Available
NUR0032,Dustin Fischer,31,Male,35,Post Pregnancy,Williams-Ward Hospital,Night,261.999.3486x6932,carolyn36@example.org,Chennai,Available
NUR0033,Catherine Smith,47,Female,12,Elderly Care,Anderson-Williams Hospital,Day,+1-784-897-9981x005,richardacosta@example.net,Mumbai,Not Available
NUR0034,Hector Long,31,Male,5,Pregnancy,"Hernandez, Hunt and Alexander Hospital",Day,2509013546,sharon79@example.net,Delhi,Not Available
NUR0035,Pamela Barber,57,Male,20,Elderly Care,"Thomas, Hunter and Bates Hospital",Day,(236)509-6728x71657,whitneygross@example.com,Kolkata,Not Available
NUR0036,Krista Reid,49,Male,5,Post Pregnancy,Hernandez-Hernandez Hospital,Rotational,482.924.9702x755,tmiles@example.com,Mumbai,Available
NUR0037,Adam Bullock,41,Female,16,Pediatric Care,Mcdonald-Mora Hospital,Night,265-558-4869x46214,bramsey@example.com,Kolkata,Not Available
NUR0038,Andrew Dixon,58,Male,26,Post Pregnancy,Smith LLC Hospital,Day,001-878-934-2960,joesims@example.org,Delhi,Available
NUR0039,Diane Savage,51,Male,19,Elderly Care,Rivera LLC Hospital,Day,001-354-242-2772x0371,saundersvalerie@example.com,Chennai,Available
NUR0040,John Knapp,30,Female,12,Pregnancy,Simpson PLC Hospital,Rotational,600.854.2997x3336,hogangregory@example.net,Bengaluru,Available
NUR0041,Brooke Strickland,44,Male,18,Elderly Care,"Robertson, Santana and Morales Hospital",Night,+1-735-582-8627x40852,kphillips@example.net,Mumbai,Not Available
NUR0042,Chase Reed,49,Male,18,Check Up,Jordan-Chambers Hospital,Rotational,001-824-600-9908,campbellvictoria@example.org,Chennai,Available
NUR0043,Kristen Townsend,27,Male,25,Check Up,"Pena, Evans and Wilcox Hospital",Night,(224)523-4647x714,mariotaylor@example.org,Kolkata,Not Available
NUR0044,Logan Travis,24,Male,19,Post Surgery,Freeman and Sons Hospital,Rotational,625.492.0861x72496,penny88@example.org,Bengaluru,Not Available
NUR0045,Diana Trujillo,24,Female,16,Pregnancy,"Curry, King and Gonzales Hospital",Rotational,818.329.4043,hollycain@example.com,Bengaluru,Available
NUR0046,Tammy Petersen,41,Male,24,Pregnancy,Newman PLC Hospital,Rotational,(288)619-5369,garciadebra@example.org,Bengaluru,Not Available
NUR0047,Michelle Lambert,58,Male,35,Post Surgery,Morris-Smith Hospital,Night,2806403550,bryan85@example.org,Mumbai,Available
NUR0048,Paul Moore,36,Female,24,Elderly Care,Black-Howard Hospital,Night,968-300-6674,wchaney@example.net,Mumbai,Available
NUR0049,Kimberly Jones,42,Male,7,Post Surgery,Bird-Jackson Hospital,Night,542.994.7719x945,robertvillanueva@example.org,Mumbai,Available
NUR0050,Samantha Shaw,46,Female,22,Post Surgery,"Harrington, Ibarra and Mccann Hospital",Day,441.816.6816x763,david62@example.com,Delhi,Available
NUR0051,Teresa Anthony,38,Male,5,Check Up,"Griffith, Jennings and Pearson Hospital",Rotational,517-335-4936x6065,molly29@example.net,Kolkata,Not Available
NUR0052,Kathleen Le MD,31,Male,30,Pregnancy,Perez LLC Hospital,Rotational,001-586-218-2871x0765,jessica81@example.org,Chennai,Available
NUR0053,Tiffany Adkins,57,Male,3,Elderly Care,Ortiz Inc Hospital,Night,870-618-0962x60801,scottamanda@example.org,Bengaluru,Available
NUR0054,Rebecca Hansen,48,Female,34,Check Up,Forbes-Ward Hospital,Night,890-381-3999x5514,henry82@example.net,Bengaluru,Not Available
NUR0055,Michael Alvarez,47,Male,35,Post Surgery,Pineda Inc Hospital,Rotational,(262)948-8841,garciawilliam@example.org,Chennai,Not Available
NUR0056,Erica Nguyen,39,Female,18,Post Surgery,"Kennedy, Allen and Edwards Hospital",Rotational,615-684-4069x861,rodriguezkyle@example.com,Delhi,Available
NUR0057,Allison Warren,24,Male,15,Post Surgery,"Hale, Williamson and Rice Hospital",Day,872.526.1450x9561,glassrichard@example.com,Mumbai,Not Available
NUR0058,Joann Berg,39,Male,11,Check Up,Lindsey-Walters Hospital,Rotational,+1-329-742-4136x815,cmartin@example.org,Delhi,Not Available
NUR0059,Lisa Powell,28,Female,1,Pregnancy,Vasquez-Jacobson Hospital,Day,+1-446-587-2539x29934,mgardner@example.org,Mumbai,Available
NUR0060,Mallory York,46,Female,4,Pregnancy,Ortega LLC Hospital,Rotational,001-211-404-2656,robert14@example.org,Chennai,Not Available
NUR0061,Rhonda Jones,52,Male,32,Post Surgery,Burgess-Miller Hospital,Night,001-532-341-5649,yjordan@example.org,Chennai,Not Available
NUR0062,Stephanie Cole,22,Female,11,Elderly Care,Mitchell-Li Hospital,Day,418-923-9349x61877,snichols@example.org,Kolkata,Available
NUR0063,Dr. Bryan Blair,36,Female,7,Post Surgery,Clark PLC Hospital,Night,438-908-0456x0720,jimenezjennifer@example.com,Mumbai,Available
NUR0064,Joshua Rodriguez,22,Male,3,Pediatric Care,"Taylor, Mendez and Andrade Hospital",Rotational,635.389.0240,pmann@example.org,Chennai,Available
NUR0065,Michael Huynh,32,Male,3,Pregnancy,Pierce-Werner Hospital,Day,(214)526-3920x449,julia34@example.com,Mumbai,Available
NUR0066,Kevin Willis,28,Male,15,Elderly Care,"Kelly, Harper and Richards Hospital",Day,(225)842-6900x19052,scontreras@example.net,Mumbai,Not Available
NUR0067,Amy Weaver,31,Female,27,Pediatric Care,Collins Inc Hospital,Rotational,+1-601-588-0295,diane50@example.net,Delhi,Available
NUR0068,Mark Robertson,24,Female,27,Pregnancy,Morton Inc Hospital,Night,001-921-904-1929,leeamber@example.net,Bengaluru,Not Available
NUR0069,Nathan Hill,32,Female,6,Pediatric Care,"Whitney, Johnson and Anthony Hospital",Rotational,6316413839,porterjeremy@example.com,Delhi,Available
NUR0070,Rachael Holmes,22,Male,18,Elderly Care,Mason-Vang Hospital,Night,3134996661,emily55@example.com,Mumbai,Available
NUR0071,Kimberly Morgan,59,Male,29,Pregnancy,Evans-Coleman Hospital,Rotational,(622)266-9267x572,lcowan@example.com,Chennai,Available
NUR0072,Stephanie Weaver,28,Female,11,Pregnancy,"Barr, Hurley and Garcia Hospital",Night,001-216-680-1122x4785,carlos95@example.org,Kolkata,Not Available
NUR0073,Anthony Smith,60,Female,17,Post Surgery,Mack-Bender Hospital,Night,962.814.4693x06769,jordanrebecca@example.net,Bengaluru,Not Available
NUR0074,Alexandra Brown,25,Female,29,Post Pregnancy,Davidson Inc Hospital,Rotational,593.836.8759,uhughes@example.org,Bengaluru,Not Available
NUR0075,Micheal Hill,24,Female,11,Post Pregnancy,Fowler PLC Hospital,Day,001-247-391-1220x531,jrodriguez@example.org,Chennai,Available
NUR0076,Hannah Cantu,33,Female,31,Check Up,Myers-Jones Hospital,Night,+1-519-870-7011x9574,wfowler@example.net,Chennai,Available
NUR0077,Brenda Mendoza,23,Male,10,Pregnancy,"Maldonado, Watson and Brown Hospital",Day,+1-409-665-8803x81937,brandon17@example.net,Mumbai,Available
NUR0078,Christina Peck,28,Male,30,Pediatric Care,Powell Ltd Hospital,Rotational,923.766.6322,uschneider@example.com,Mumbai,Not Available
NUR0079,Jason Martinez,49,Male,18,Check Up,Wade Inc Hospital,Day,001-713-469-1038,cookelizabeth@example.com,Bengaluru,Available
NUR0080,Matthew Cameron,47,Male,4,Elderly Care,"Cook, Marquez and Aguilar Hospital",Day,(623)242-7680,ramostodd@example.org,Kolkata,Not Available
NUR0081,Whitney Logan,45,Male,27,Pediatric Care,Mata Group Hospital,Rotational,+1-781-873-7136,pcarroll@example.com,Bengaluru,Available
NUR0082,Mr. John White,53,Male,28,Elderly Care,Brown-Perez Hospital,Night,985-917-5849,gonzalezrobert@example.net,Kolkata,Not Available
NUR0083,Erica Gillespie,40,Female,23,Check Up,Campbell-Huang Hospital,Rotational,(917)322-9770,eric68@example.net,Kolkata,Not Available
NUR0084,Matthew Harvey,37,Male,11,Pediatric Care,"Davis, Brewer and Gordon Hospital",Rotational,848-592-7947x086,clementsbrooke@example.org,Mumbai,Not Available
NUR0085,Daniel Martinez,53,Female,24,Elderly Care,"Green, Hansen and Luna Hospital",Rotational,929.582.9503,christian98@example.net,Mumbai,Available
NUR0086,Suzanne Williams,57,Female,23,Pregnancy,"Lewis, Sanford and Knight Hospital",Rotational,667-499-6333x5837,fgallagher@example.org,Bengaluru,Not Available
NUR0087,Douglas Farrell,46,Female,17,Elderly Care,Hernandez-Andrews Hospital,Day,(997)279-4631x8008,deborahbolton@example.net,Mumbai,Not Available
NUR0088,Mr. Melvin Rodriguez,28,Female,9,Post Pregnancy,Green PLC Hospital,Night,332.223.9194x154,nathan36@example.org,Mumbai,Not Available
NUR0089,Emma Keller,59,Male,5,Check Up,Singh-Montoya Hospital,Day,979-761-1330x618,athompson@example.com,Mumbai,Available
NUR0090,Steven Ayala,23,Female,33,Post Surgery,Schultz Inc Hospital,Day,224.897.7982x153,kenneth02@example.net,Chennai,Not Available
NUR0091,Kevin Thomas,38,Male,35,Elderly Care,"Anderson, Rivas and Dunlap Hospital",Rotational,851.869.8597x040,ismith@example.org,Bengaluru,Not Available
NUR0092,Dominique Lewis,24,Male,29,Post Surgery,Strong-Scott Hospital,Rotational,+1-627-377-2446x86641,iparker@example.com,Bengaluru,Not Available
NUR0093,Matthew Wilkins,55,Male,11,Elderly Care,Black Ltd Hospital,Rotational,001-248-950-3146x082,jessica88@example.com,Bengaluru,Not Available
NUR0094,Savannah Shah,24,Female,13,Check Up,Wood PLC Hospital,Rotational,754.595.8659x14153,richardsonemily@example.org,Chennai,Available
NUR0095,Edward Long,60,Female,33,Check Up,"Garcia, Stewart and Wu Hospital",Night,001-403-797-2019x5787,rebecca96@example.com,Delhi,Not Available
NUR0096,Troy Santana,44,Female,28,Post Pregnancy,Lambert and Sons Hospital,Day,001-789-413-6857,angela35@example.net,Mumbai,Not Available
NUR0097,Jason Montgomery,27,Male,15,Post Surgery,"Trujillo, Mckay and Thornton Hospital",Rotational,896-410-4281x8369,xcontreras@example.com,Chennai,Available
NUR0098,Karen Navarro,55,Female,3,Post Pregnancy,Miller-Morris Hospital,Day,942-673-9528x47869,kennethstewart@example.org,Chennai,Not Available
NUR0099,Lynn Rose,36,Male,33,Elderly Care,Taylor-Jordan Hospital,Day,9033436137,privera@example.net,Kolkata,Not Available
NUR0100,Dr. Susan Nelson,37,Male,35,Check Up,Hernandez-Powell Hospital,Day,+1-352-701-4877x163,lopezteresa@example.net,Delhi,Available
Nurse_ID,Name,Age,Gender,Experience_Years,Specialization,Hospital,Shift,Contact,Email,Location,Available
NUR0001,Theresa Hart,42,Female,16,Post Surgery,Pearson Inc Hospital,Rotational,709-760-3098,christopher41@example.com,Chennai,Not Available
NUR0002,Rebecca Gibson,53,Female,6,Elderly Care,Burnett-Richmond Hospital,Rotational,768.867.6891x943,gregoryjennifer@example.com,Delhi,Available
NUR0003,Kyle Thompson,35,Male,23,Post Pregnancy,Wu-Bird Hospital,Rotational,837-823-2171,william57@example.org,Delhi,Not Available
NUR0004,Rachel Moore,47,Male,17,Pregnancy,Francis-Snyder Hospital,Night,(550)487-4239x898,darrenwilliams@example.org,Chennai,Not Available
NUR0005,Barbara Smith,36,Male,5,Pediatric Care,"Marshall, Porter and Mitchell Hospital",Night,589.359.3155x69557,jenniferli@example.com,Delhi,Available
NUR0006,Clayton Foster,43,Female,19,Elderly Care,"Branch, Jackson and Elliott Hospital",Night,+1-252-382-7767x08846,timothyoliver@example.org,Mumbai,Available
NUR0007,Christopher Gay,36,Male,30,Post Surgery,Cohen-Perez Hospital,Rotational,817-747-0862x47261,ejackson@example.org,Delhi,Available
NUR0008,Bryce Clements,55,Female,18,Pregnancy,Morgan Ltd Hospital,Day,+1-328-640-9719,nanderson@example.com,Mumbai,Available
NUR0009,Mrs. Taylor Gordon DDS,26,Male,4,Pediatric Care,"Perry, Williams and Klein Hospital",Rotational,001-445-754-5568x45527,kevin34@example.net,Kolkata,Not Available
NUR0010,Darryl Hoffman,39,Female,9,Post Surgery,Lewis-Campbell Hospital,Night,572-518-4007x12577,hbruce@example.net,Kolkata,Not Available
NUR0011,Shannon Castro,27,Female,22,Pediatric Care,"Williams, Richardson and Williams Hospital",Night,9257887209,hardyeric@example.org,Kolkata,Not Available
NUR0012,Paul Brown,52,Male,11,Elderly Care,Day-Williams Hospital,Night,001-453-318-1624,parkskevin@example.org,Bengaluru,Available
NUR0013,Rebecca Cobb,33,Female,6,Pediatric Care,Tate-Love Hospital,Day,3598605087,evansjennifer@example.com,Chennai,Not Available
NUR0014,John Rodriguez,44,Female,7,Elderly Care,Acevedo PLC Hospital,Rotational,001-827-313-3236x0091,zlove@example.org,Chennai,Available
NUR0015,Caitlin Young,50,Female,21,Pregnancy,"Harper, Miller and Dominguez Hospital",Day,503-995-0455x88409,megan17@example.org,Bengaluru,Not Available
NUR0016,Benjamin Gonzalez,60,Male,9,Post Surgery,"Gomez, Hanna and Davis Hospital",Night,850.600.9115,kimberlygalvan@example.net,Delhi,Not Available
NUR0017,Isaac Davis,25,Female,35,Elderly Care,Henry PLC Hospital,Day,481-667-0597,herickson@example.net,Mumbai,Available
NUR0018,Cheryl Hall,54,Male,26,Pregnancy,Ramirez LLC Hospital,Night,957.547.0264x98543,wmiles@example.com,Mumbai,Not Available
NUR0019,Jacob Kelley,56,Female,10,Post Surgery,"Holmes, Thompson and Zimmerman Hospital",Day,+1-809-951-5922,sara44@example.org,Mumbai,Not Available
NUR0020,Miss Theresa Baker,51,Female,8,Post Pregnancy,Nichols-Burton Hospital,Night,390-636-0541x31574,jasonscott@example.com,Mumbai,Not Available
NUR0021,Mario Wells,53,Male,17,Post Pregnancy,Castillo Group Hospital,Night,+1-977-407-7704x33784,jordandean@example.net,Delhi,Available
NUR0022,Dillon Henry,51,Male,27,Pregnancy,"Adams, Sullivan and Valentine Hospital",Day,001-795-989-0261x8055,michellecohen@example.net,Delhi,Available
NUR0023,Jesse Jenkins,37,Male,9,Post Surgery,Perez-Schroeder Hospital,Day,+1-358-592-9327x980,danielsmichele@example.org,Chennai,Not Available
NUR0024,Jessica Clark,59,Male,32,Pediatric Care,"Smith, Beard and Davis Hospital",Night,001-255-668-7461x03700,lewisbridget@example.net,Chennai,Available
NUR0025,Loretta Walker,59,Female,2,Pediatric Care,"Williams, Lopez and Prince Hospital",Night,001-954-832-5623x25071,jessicavega@example.com,Delhi,Not Available
NUR0026,Alexandria Baker,27,Male,7,Post Pregnancy,Fuentes-Patel Hospital,Night,+1-727-588-9460,martinezjeffrey@example.com,Chennai,Available
NUR0027,Alvin Acevedo,54,Male,12,Elderly Care,Contreras Inc Hospital,Night,292.707.0124x30958,xthomas@example.com,Mumbai,Available
NUR0028,Cody Hardy,52,Male,6,Check Up,"Cook, Farley and Ruiz Hospital",Rotational,356.259.0066,brownkimberly@example.net,Bengaluru,Available
NUR0029,Lance Clark,56,Female,6,Pediatric Care,Simon-Jimenez Hospital,Day,7508475545,ruben85@example.com,Kolkata,Not Available
NUR0030,Jamie Brown,39,Male,32,Pregnancy,"Leon, Ortiz and Lloyd Hospital",Night,961.270.6092,lkeller@example.org,Delhi,Available
NUR0031,Joseph Black,22,Female,30,Elderly Care,Wilson-Mccall Hospital,Rotational,+1-587-583-5778,susanmccarthy@example.org,Chennai,Available
NUR0032,Tina Spencer,29,Female,2,Post Pregnancy,Cobb LLC Hospital,Rotational,785-682-9797x56382,shannonsmith@example.org,Mumbai,Not Available
NUR0033,Kyle Frazier,29,Male,10,Pediatric Care,Mckenzie-Horton Hospital,Night,908.437.0521,joshua74@example.org,Delhi,Not Available
NUR0034,Michael Delgado,54,Female,12,Post Pregnancy,Stanton and Sons Hospital,Day,(783)772-8185,nicholas32@example.org,Kolkata,Not Available
NUR0035,Chad Johnson,25,Male,22,Pregnancy,"Brennan, Hines and Mcintosh Hospital",Rotational,947.827.5411x7360,nadams@example.net,Chennai,Not Available
NUR0036,Mark Hamilton,48,Male,12,Elderly Care,Murray-Russell Hospital,Day,320.506.3346,elizabethcarpenter@example.org,Mumbai,Available
NUR0037,Kim Porter,34,Male,22,Pediatric Care,Smith-Rogers Hospital,Rotational,7413668143,gregory68@example.org,Chennai,Available
NUR0038,Brittney Howard,25,Female,6,Post Pregnancy,Henderson Group Hospital,Rotational,8005240755,blakethomas@example.org,Chennai,Not Available
NUR0039,Sharon Diaz,49,Male,25,Post Pregnancy,"Rodriguez, Ballard and Day Hospital",Night,5596785800,ramirezbrianna@example.com,Mumbai,Available
NUR0040,Madison Drake,30,Male,3,Elderly Care,"Martinez, Long and Gray Hospital",Night,(431)726-9544x22426,adiaz@example.com,Bengaluru,Available
NUR0041,Sue Peterson,57,Female,4,Post Pregnancy,Rice-Molina Hospital,Night,+1-928-865-3462,timothy30@example.org,Chennai,Available
NUR0042,Ryan Jimenez,22,Female,28,Pediatric Care,Esparza-Cooper Hospital,Rotational,001-702-539-4844x8336,katherineorozco@example.org,Chennai,Available
NUR0043,Jon Graham,57,Male,30,Pregnancy,Holmes Ltd Hospital,Rotational,767.924.5653x499,dtapia@example.org,Kolkata,Not Available
NUR0044,Kara Lopez,32,Male,32,Post Pregnancy,Willis-Norton Hospital,Night,(438)397-3125x16599,timothyhansen@example.org,Delhi,Available
NUR0045,Patrick Sherman,49,Male,2,Post Pregnancy,Brown-Sanchez Hospital,Night,915-690-8235,vsimmons@example.net,Chennai,Not Available
NUR0046,Tracy Warren,43,Male,30,Post Surgery,White-Keller Hospital,Day,2187071479,joshualeach@example.net,Bengaluru,Available
NUR0047,Steven Allen,26,Male,24,Post Pregnancy,Johns-Tucker Hospital,Day,(779)407-7915,mooredale@example.org,Chennai,Not Available
NUR0048,Donna Morales,44,Female,19,Post Surgery,"Williams, Webb and Bennett Hospital",Rotational,716.814.5978x90196,torresronald@example.com,Mumbai,Available
NUR0049,Juan Anderson,50,Male,19,Pregnancy,"Poole, Wilson and Davis Hospital",Day,+1-580-623-2920x9943,zbryant@example.com,Delhi,Available
NUR0050,Scott Flores,54,Male,8,Post Surgery,Clark-Robinson Hospital,Day,771.933.4523,amber10@example.com,Delhi,Available
NUR0051,Lori Suarez,32,Male,2,Pregnancy,Washington Inc Hospital,Day,827.777.9460,elizabeth73@example.net,Mumbai,Not Available
NUR0052,David Gross,36,Male,1,Check Up,Walker-Allen Hospital,Night,(241)511-1848x15394,amyreyes@example.org,Delhi,Available
NUR0053,Lisa Caldwell,59,Male,6,Elderly Care,Clark-Hamilton Hospital,Day,(673)467-0200,howard64@example.net,Chennai,Available
NUR0054,Randy Diaz,58,Female,22,Elderly Care,"Lane, Williamson and Rogers Hospital",Night,001-559-303-2303x29483,carlwhitehead@example.net,Bengaluru,Available
NUR0055,Chloe Dennis,46,Male,29,Post Surgery,Cruz-Richards Hospital,Night,+1-967-744-5713x019,johnsonjeremy@example.com,Mumbai,Available
NUR0056,Benjamin Burton,39,Male,24,Elderly Care,"Cox, Davis and Wallace Hospital",Night,001-945-731-7923x192,martinezthomas@example.com,Kolkata,Available
NUR0057,Stephen Hebert,31,Male,13,Post Pregnancy,"Brown, Zamora and Kent Hospital",Rotational,(696)614-2003,johnjordan@example.net,Bengaluru,Available
NUR0058,Shelly Oneal,37,Female,21,Pregnancy,Torres-Hall Hospital,Day,398.661.6231,virginia16@example.org,Chennai,Not Available
NUR0059,Morgan Mclean,60,Female,8,Elderly Care,Hendricks LLC Hospital,Rotational,810.781.6934x5643,lstone@example.org,Mumbai,Not Available
NUR0060,Matthew Henderson,59,Female,14,Post Surgery,Bowers Group Hospital,Rotational,(289)932-5977,david97@example.net,Chennai,Available
NUR0061,Mark Taylor,49,Male,4,Post Pregnancy,"Brown, Schmidt and Diaz Hospital",Rotational,001-281-870-0079x72640,solisrandy@example.org,Kolkata,Not Available
NUR0062,Adrian Austin,43,Female,25,Pediatric Care,"Davis, Davis and Rodriguez Hospital",Day,+1-548-403-7179x505,keithrussell@example.com,Delhi,Not Available
NUR0063,Kimberly Hernandez,24,Male,17,Check Up,Williams Ltd Hospital,Day,(840)669-3000x7179,charleswhite@example.net,Delhi,Not Available
NUR0064,Daniel Perez,45,Female,35,Elderly Care,Cortez and Sons Hospital,Rotational,(842)990-1615x43304,paula79@example.net,Chennai,Available
NUR0065,Colleen Williams,60,Male,14,Pregnancy,Rowe-Thompson Hospital,Rotational,476-357-0031x1630,pcollins@example.com,Kolkata,Not Available
NUR0066,Patricia Burns PhD,24,Male,33,Pediatric Care,"Mays, Moreno and Shaw Hospital",Day,+1-807-755-0791x9740,josephpham@example.com,Mumbai,Not Available
NUR0067,Justin Davis,32,Male,30,Elderly Care,Mclean Group Hospital,Rotational,481.806.3987,ccolon@example.org,Kolkata,Not Available
NUR0068,Thomas Davis,46,Female,34,Elderly Care,Martin-Cooper Hospital,Day,+1-714-690-2892,xallen@example.net,Kolkata,Not Available
NUR0069,Nicole Williams MD,37,Male,28,Pregnancy,Barber-Martinez Hospital,Night,775-228-4419x5828,jessica83@example.com,Delhi,Not Available
NUR0070,John Webster,31,Female,10,Post Surgery,"Farmer, Davis and Caldwell Hospital",Night,(805)624-8090x925,qanderson@example.net,Mumbai,Available
NUR0071,Megan Smith,57,Female,24,Check Up,Pope Inc Hospital,Day,623.491.8531x4407,fcook@example.org,Bengaluru,Available
NUR0072,Dwayne Ford,51,Male,18,Pediatric Care,Thompson-Aguilar Hospital,Night,537-463-5192,aenglish@example.com,Bengaluru,Not Available
NUR0073,Elizabeth Cohen,28,Male,14,Check Up,"Diaz, Smith and Allen Hospital",Night,5164617365,andradetyler@example.net,Chennai,Not Available
NUR0074,Samantha Nelson,36,Male,9,Pregnancy,Quinn and Sons Hospital,Night,(514)821-9978,qwilliams@example.net,Chennai,Available
NUR0075,Brian Foster,57,Male,28,Pediatric Care,"Skinner, Nichols and Keller Hospital",Day,(564)477-5827x305,amanda84@example.com,Bengaluru,Not Available
NUR0076,Carol Kirk,37,Female,7,Elderly Care,"Peters, Johns and Martin Hospital",Rotational,729.599.4686x030,brenda12@example.com,Kolkata,Not Available
NUR0077,Cody Robinson,42,Female,9,Post Pregnancy,Hartman-George Hospital,Rotational,355.773.7677x3992,roberto42@example.org,Mumbai,Available
NUR0078,Jason Jones,23,Male,16,Post Pregnancy,Armstrong PLC Hospital,Rotational,001-830-284-8046x65282,teresa80@example.com,Chennai,Not Available
NUR0079,Richard Williams,46,Female,6,Post Pregnancy,Alvarez-Hale Hospital,Day,+1-420-532-4169x53798,james04@example.net,Kolkata,Not Available
NUR0080,Christopher Jackson,59,Male,11,Pediatric Care,"Williams, York and Sanchez Hospital",Day,(388)376-6915x0596,wrightdana@example.org,Kolkata,Available
NUR0081,Mallory Lee,42,Female,8,Check Up,"Wilkins, Garza and Foster Hospital",Rotational,(732)632-2847x176,joseph65@example.org,Bengaluru,Not Available
NUR0082,Thomas Cooper,47,Male,13,Pregnancy,Saunders Group Hospital,Night,(694)859-5829x339,matthew30@example.com,Chennai,Not Available
NUR0083,Steven Finley,27,Female,2,Check Up,Simmons-Davis Hospital,Rotational,001-753-883-7479x05509,johnbrown@example.net,Mumbai,Available
